id,name,city,google_place_id
577,Chez William,montpellier,ChIJc0OrWgqvthIRfQutGtsHpN0
670,Le dieu du velo(réparation vélos),montpellier,ChIJP3WLaWevthIR8JB7Xgtmm3w
714,Les paniers de Mayanne,montpellier,ChIJ3dz0rQ8ttBIRKcbJymCa_5Y
720,CARRÉ d' Agneau Boucherie,nîmes,ChIJOaX5RM0ttBIRcGT60oGNMJE
729,Akharouid Abderrahman,nîmes,ChIJN6SUbQ0ttBIRgxnYVuMAa-c
730,Pugliese Victor,nîmes,ChIJVYG3UW0ttBIRVouupovz7m4
731,Ethnic Market Halal,nîmes,ChIJI0W4Rc0ttBIRwbm7HtqUauA
732,Midi Steak,nîmes,ChIJ_d7jdCIstBIRN-fmZ-dHbfQ
792,Promotion Produits Terroir,quissac,ChIJV8wC_iYXtBIRB6VPN0Gvr1A
1189,Chambre de Metiers Et de l'Artisanat,Clermont-l'Hérault,ChIJY5QafHVdsRIRF-PGEfJZ9bM
1233,Près du 207 chemin des amendiers lunel,Lunel,ChIJJwu0HgCfthIRNYlJdLF9A4U
1241,Chambre de Metiers Et de l'Artisanat,Lunel,ChIJV1noqnmethIRlb__1F9efX0
1242,POVEDA JM-POVEDA,Le Vigan,ChIJpZB8AJkJ5kcR0FyaYRAuOzk
1245,Bleu Cévennes,Le Vigan,ChIJIa3XrlzysxIRWnEPvBSnJg0
1246,Aux Plaisirs Gourmands,Le Vigan,ChIJGVQLPUPysxIRgH-kgw6_F2M
1248,Segondy,Le Vigan,ChIJn3LwO0LysxIRgkkgaNaUJkM
1253,Fromagerie Fermière Sauveplane,Le Vigan,ChIJeXNku8zzsxIRuuLH5ql8Df0
1256,Réparateur de vélo,Lunel,ChIJtSFtZBKfthIR5XMqWS-PlG8
1270,Au Coin Des Saveurs,Lunel,ChIJ3ZMhCYuethIRP7Gh0mBkYpE
1272,Marché du jeudi et dimanche,Lunel,ChIJvZCZPgCfthIRQ5Xr4AEq4iQ
1278,Jardinerie du Levant,Lunel,ChIJewSmdH-ethIRgSfu8ReboOo
1321,Bully Du Maquis,Clermont-l'Hérault,ChIJrxMwOH1nsRIRzBolHjK8Kns
1324,Albinet Christiane,Clermont-l'Hérault,ChIJU5M9qGdnsRIRrldSqw3E0aM
1358,Patissier 9 Chocolatier,Lunel,ChIJ3Va-un6ethIRTi443fg4CV0
1371,Atelier Papetier,Salasc,ChIJrUiroU9lsRIRbSUpplwamRk
1376,Ariac,Clermont-l'Hérault,ChIJSbiz65VnsRIRLL7bXl7tq9k
1409,2 c salon,Lunel,ChIJB2irUI-ethIRqOBmuplxWyg
1415,Elevage Jocker of the Queen,Aimargues,ChIJaW3nXI6dthIRIGGmBrcbuKQ
1422,Artisans du Bâtiment,Clermont-l'Hérault,ChIJ__-7-p1dsRIRKMf7hY07LGc
1437,Entreprise Serra et Fils,Le Vigan,ChIJe_4dWkHysxIR-kVkn_C9cZU
1448,Cave A Vin,Lunel,ChIJTwOvGoiethIREAMHWWSzqYc
1457,Gauthier Joel,Val-d'Aigoual,ChIJq6AdFK6NsxIR-gpYAlHr-tA
1458,La Fabrique à Bois,Le Vigan,ChIJ__-70lvysxIRqFUDkPQNI6g
1475,Combe Apiculture,Mons,ChIJ78Uvt_REtBIRU32MI33auUU
1486,Librairie Aux Trois Colonnes,Lunel,ChIJV6bUVYqethIRp3gEIEyB4s0
1502,Camplo Robert Pisciculture Robert,Le Vigan,ChIJrRNfW8zzsxIRrsjyH6ipSQs
1533,Eleveurs du Sud,Anduze,ChIJZZed7p1stBIRCH9bzc0OGUY
1540,"l'Union des Commerçants, Industriels et Artisans d'Anduze",Anduze,ChIJ_QCSE51stBIRh6VqZDMUjjA
1550,Atelier Muréalis,Clermont-l'Hérault,ChIJG1QtltXXzksRUDN87hjrYvo
1553,Coopérative Bouchère Paysanne,Le Vigan,ChIJ3xwaadTzsxIRlRN6t4f6kQM
1589,Librairie Le Pouzadou,Le Vigan,ChIJFXdbXkPysxIRAUXw1-iUJOM
1612,Elevage des petits titounet,Clermont-l'Hérault,ChIJgzZ5D3NdsRIRHoF7P6Ft-V8
1626,Sud Céréales (SC),Uzès,ChIJP3sfPVK1tRIRRZg-EXC79F4
1630,Le Langage Des Papillons,Anduze,ChIJt70G6IJstBIR6MABtdmckU8
1659,Initiative Hérault Est,Lunel,ChIJrXHJVXiethIRy32P2RyejN0
2121,Solutec,Lunel,ChIJZQEs5vCethIRzI-3_nnRj0I
2658,La Forge Pescalune,Lunel,ChIJJ21gaYSethIRz9GMb07E0R0
